ra,dec,type,subtype,name,SDSS-ID,objID,sp-ID,oids
0.112642,3.121064,QSO1.2,,SDSS J000027.01+030715.5      ,7712-301-5-0330-0115,1237678598090520064,4296-55499-0630,[]
0.3395,-0.1944194,Unknown,BZU,5BZB J0001-0011,2728-301-3-0415-0186,1237657190905339904,685-52203-0125,[Decimal('396215300003702')]
0.339663,-0.194664,Unknown,,FBQS J0001-0011               ,2728-301-3-0415-0186,1237657190905339904,685-52203-0125,[Decimal('396215300003702')]
0.4885417,-10.5214694,ABS,BZG,5BZG J0001-1031,1740-301-2-0025-0036,1237652946915219968,650-52143-0141,[Decimal('395205200033875')]
0.60273689,0.53515292,ABS,,,4145-301-5-0114-0265,1237663277928019968,387-51791-0552,[Decimal('396215200012511')]
0.7381667,-0.4130778,Em,BZG,5BZB J0002-0024,4263-301-3-0120-0294,1237663783660809984,4216-55477-0116,[Decimal('396215300005886')]
0.89765,-8.566286,ABS,,2dFGRS S807Z487               ,8095-301-1-0306-0063,1237680240913939968,7168-56625-0582,[Decimal('395209200012042')]
0.971917,12.173375,ABS,,MG1 J000353+1210              ,7787-301-3-0208-0362,1237678919131330048,5649-55912-0409,[Decimal('499211400005337')]
1.528825,10.869931,ABS,,2MASX J00060696+1052136       ,7784-301-6-0206-0155,1237678907856910080,6113-56219-0520,[]
1.616283,14.542053,Em,,SDSS J000627.90+143231.7      ,1739-301-2-0313-0364,1237652942639130112,6112-56191-0507,[Decimal('499215400000664')]
1.70325,24.3768083,QSO,BZQ,5BZQ J0006+2422,4851-301-2-0041-0148,1237666308559529984,,[Decimal('600206300008993')]
1.735987,5.147956,Unknown,,NVSS J000656+050856           ,7727-301-4-0078-0496,1237678661961639936,4297-55806-0663,"[Decimal('498209400026635'), Decimal('447212300003363')]"
2.108792,-5.045472,ABS,,2MASX J00082608-0502444       ,6361-301-6-0034-0285,1237672796107170048,7035-56568-0268,[Decimal('396202200019755')]
2.201925,4.403769,QSO1.5,,PMN J0008+0423                ,7754-301-2-0329-0071,1237678776868470016,4297-55806-0799,[Decimal('447208200007982')]
2.24692597373729,25.8847914536486,QSO1.2,,,4135-301-6-0300-0280,1237663235527399936,,[Decimal('600206100001828')]
2.2662917,6.4726083,Continual without z,BZB,5BZB J0009+0628,5636-301-1-0136-0265,1237669679578210048,4416-55828-0544,[]
2.26639189634381,6.47258181086659,Unknown,,,5636-301-1-0136-0265,1237669679578210048,4416-55828-0544,[]
2.321,6.4318583,QSO,BZQ,5BZQ J0009+0625,5598-301-1-0131-0077,1237669516369129984,4533-55855-0350,[]
2.321054,6.431864,QSO,,MG1 J000916+0625              ,5598-301-1-0131-0077,1237669516369129984,4533-55855-0350,[]
2.390312,6.878906,ABS,,2MASX J00093382+0652458       ,5636-301-2-0137-0203,1237669680115150080,4533-55855-0366,[]
2.525358,9.766383,ABS,,NVSS J001006+094559           ,7784-301-3-0213-0211,1237678906246749952,5648-55923-0351,[]
2.589554,9.951953,QSO,,NVSS J001021+095707           ,7880-301-3-0060-0261,1237679318553590016,6113-56219-0352,[Decimal('499206300016590')]
2.61975,20.7972472,QSO1.5,BZQ,5BZQ J0010+2047,8096-301-5-0244-0194,1237680247352320000,,[]
2.62772089572661,10.9656561780408,ABS,,,7784-301-6-0214-0004,1237678907857430016,5648-55923-0690,[Decimal('499206200028736')]
2.8766667,0.9644389,QSO,BZQ,5BZQ J0011+0057,4145-301-6-0129-0284,1237663278465870080,4217-55478-0946,"[Decimal('396214100000797'), Decimal('447204400014657')]"
2.896733,8.652983,ABS,,NVSS J001135+083912           ,5636-301-6-0141-0630,1237669682262899968,4533-55855-0748,[]
3.0998258179543,19.5817286163376,NLS1.5,,,7923-301-3-0201-0241,1237679503246419968,,[Decimal('550210400003683')]
3.1972917,33.8940583,Unknown,BZU,5BZQ J0012+3353,3356-301-4-0020-0594,1237659888655790080,,[Decimal('648209300003779')]
3.198138,0.787853,ABS,,2MASX J00124757+0047155       ,2728-301-5-0434-0214,1237657191980329984,686-52519-0617,[Decimal('396214100035622')]
3.205117,-8.9592,Em,,SDSS J001249.19-085733.0      ,6361-301-4-0061-0249,1237672795035200000,7169-56628-0662,[Decimal('345212400027602')]
3.24886178072796,14.9869567114419,ABS,,,1739-301-3-0323-0205,1237652943176659968,752-52251-0475,[Decimal('499214100004474')]
3.363975,1.872606,Unknown,,GALEXASC J001327.33+015221.7  ,7712-301-2-0352-0231,1237678596481349888,,[]
3.41850890086778,4.14990733086781,NLS1.2,,,7718-301-1-0011-0155,1237678621691930112,,[]
3.4754583,-4.3978083,QSO,BZQ,5BZQ J0013-0423,7881-301-5-0045-0329,1237679323921309952,,[Decimal('396206400008077')]
3.475604,-4.397842,QSO,,PKS 0011-046                  ,7881-301-5-0045-0329,1237679323921309952,,[Decimal('396206400008077')]
3.582042,8.900467,Em,,CRATES J0014+0854 NED01       ,7784-301-1-0220-0231,1237678905173469952,4536-55857-0280,[]
3.5822917,8.9003889,Em,BZG,5BZG J0014+0854,7784-301-1-0220-0231,1237678905173469952,4536-55857-0280,[]
3.585183,-4.9914,NLQSO1.0,,GALEXASC J001420.46-045929.1  ,7881-301-4-0046-0102,1237679323384509952,,[]
3.8665,35.6109972,Continual without z,BZB,5BZB J0015+3536,3367-301-6-0025-0544,1237659936974500096,,[Decimal('648213300023152')]
3.9165417,17.0113889,QSO,BZQ,5BZQ J0015+1700,7713-301-2-0256-0320,1237678600770020096,6111-56270-0100,[]
