ZTFID,OID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF23aaohfxx,848210100024300,SN2023kui,18:02:11.15,+70:29:18.8,2122.93,g,18.795,-18.40,>33.893,>11,22.893,SN II,0.06,29.55050679,0.09
ZTF23aanzbtf,636210200038831,SN2023ksy,18:06:49.80,+27:29:15.8,2120.88,r,18.7703,-19.12,>22.953,>10.04,12.913,SN Ia,0.078,21.29480992,0.27
ZTF23aanxepa,480209400003036,SN2023ktu,15:45:35.39,+05:12:56.9,2123.75,g,18.0675,-19.44,24.163,11.424,12.739,SN Ia,0.067,43.15309181,0.15
ZTF23aantmqa,863214200005956,SN2023kxf,15:18:42.98,+79:28:16.7,2121.9,g,18.5181,-19.65,26.122,10.247,15.875,SN Ia,0.094,35.34477854,0.077
ZTF23aansrmz,796206100020920,SN2023kzq,17:19:23.29,+54:06:11.2,2122.79,r,18.6779,-19.06,24.587,10.531,14.056,SN Ia,0.07853,34.98629555,0.077
ZTF23aanpyeb,392203100034845,SN2023kno,22:26:10.00,-12:02:46.8,2116.9,g,18.0799,-19.13,>20.427,>7.99,12.437,SN Ia,0.059,-52.79487777,0.135
ZTF23aanpqba,585211400041103,SN2023kgt,16:48:29.91,+19:18:21.9,2121.78,r,18.2301,-17.82,24.906,9.702,15.204,SN Ia,0.03462,35.45199158,0.208
ZTF23aaniabv,581211300037228,SN2023kbu,14:46:38.75,+19:16:49.9,2112.73,g,17.3744,-19.13,>19.951,>7.93,12.021,SN Ia,0.0436,62.46260063,0.102
ZTF23aandvzg,1678201100046092,SN2023kck,17:09:47.00,+27:37:22.8,2115.83,r,18.4587,-18.01,20.145,10.127,10.018,SN Ib/c,0.043,33.35489593,0.141
ZTF23aamzucf,681201100041745,SN2023jzq,17:31:24.96,+31:10:16.0,2112.86,g,18.2874,-19.60,29.432,8.559,20.873,SN Ia,0.08,29.77086531,0.139
ZTF23aamzljd,532209300026569,SN2023kbd,15:54:18.95,+12:07:43.3,2112.78,r,18.7002,-17.31,>17.98,>9.01,>8.97,SN Ic,0.035,44.69245112,0.137
ZTF23aamzcfe,796214100032247,SN2023jxe,17:18:46.01,+58:08:02.7,2116.78,r,17.3185,-18.24,28.355,10.393,17.962,SN Ia,0.029,34.89787753,0.082
ZTF23aamwsrh,652207300025777,SN2023jxf,02:01:55.48,+31:53:09.8,2108.98,r,17.9476,-20.18,>19,>9.01,>9.99,SN Ia,0.09,-28.64377777,0.176
ZTF23aamwiqd,637208300053036,SN2023jzg,18:20:19.24,+24:39:44.8,2109.96,r,18.2005,-18.81,21.761,9.85,11.911,SN Ia,0.05,17.44247644,0.392
ZTF23aamvyyl,531206200034319,SN2023jwr,15:17:06.61,+11:21:50.5,2114.75,r,17.5578,-19.06,31.452,13.504,17.948,SN Ia,0.0464,52.37158899,0.115
ZTF23aamqzyz,823215300032408,SN2023jvt,15:22:32.76,+64:51:42.3,2114.79,g,16.5267,-19.14,27.484,10.779,16.705,SN Ia,0.03,45.367257,0.083
ZTF23aamqtel,579203100001061,SN2023jvj,13:53:02.45,+16:49:10.9,2113.76,g,15.6696,-18.98,23.938,9.235,14.703,SN Ia,0.019,72.41459783,0.072
ZTF23aamlodm,719209200028765,SN2023jsc,14:46:43.70,+42:18:25.4,2102.77,g,17.0934,-19.02,19.857,5.441,14.416,SN Ia,0.0376,62.07673619,0.043
ZTF23aamamlv,821211300007527,SN2023jlx,13:37:27.27,+63:01:41.3,2101.78,g,18.043,-19.31,22.918,9.765,13.153,SN Ia,0.066,53.31526612,0.05
ZTF23aalsied,865207400036504,SN2023jje,18:16:04.40,+75:03:04.2,2100.7,g,18.3415,-19.32,24.867,9.683,15.184,SN Ia,0.07,28.41403672,0.195
ZTF23aaldwgw,627207100009789,SN2023jht,13:31:12.75,+25:18:50.4,2099.73,g,18.3608,-19.40,21.301,8.235,13.066,SN Ia,0.08,80.89973936,0.034
ZTF23aaldvnc,579207100034536,SN2023jfl,13:53:53.71,+18:35:36.9,2101.78,g,17.7138,-19.60,24.627,11.002,13.625,SN Ia,0.06420,73.29465015,0.068
ZTF23aakyoji,476203400014413,SN2023jkp,13:42:08.94,+00:52:14.9,2102.68,r,18.9182,-19.12,31.038,13.596,17.442,SN Ia,0.09,61.05910887,0.077
ZTF23aakxqrp,474202100010348,SN2023juk,12:54:30.61,+02:03:41.3,2099.73,r,18.5963,-18.87,20.577,6.551,14.026,SN Ia,0.07,64.92235512,0.05
ZTF23aakstht,796203300001465,SN2023jac,17:00:05.33,+51:55:55.1,2109.86,r,18.2314,-18.47,32.029,17.948,14.081,SN Ic,0.0495,37.96939147,0.052
ZTF23aakrngt,629201300010118,SN2023izm,14:43:08.87,+22:52:36.8,2098.7,g,18.1771,-19.30,22.904,12.307,10.597,SN Ia,0.06843,64.38960695,0.084
ZTF23aakrkjt,479214300013338,SN2023jib,15:08:15.92,+06:47:58.0,2094.88,g,17.4572,-19.34,27.392,7.518,19.874,SN Ia,0.05,51.70602552,0.098
ZTF23aakokgz,789207100021130,SN2023jdj,11:59:09.36,+54:13:26.5,2092.87,g,18.8311,-18.93,19.967,7.051,12.916,SN Ia,0.08,61.25487262,0.036
ZTF23aakmqlj,728211300040740,SN2023ixk,19:33:45.98,+41:19:21.4,2100.93,r,18.5861,-19.37,24.284,14.573,9.711,SN Ia,0.075,10.27325231,0.461
ZTF23aakidwn,388210100040811,SN2023jik,20:41:56.59,-08:35:55.5,2099.92,r,18.4932,-18.22,22.015,14.504,7.511,SN Ia,0.04850,-28.4391662,0.111
ZTF23aakcbfv,728214400047685,SN2023iwz,19:52:18.46,+42:53:12.1,2089.95,r,17.6171,-16.19,27.525,6.793,20.732,SN II,0.01,7.99916189,0.773
ZTF23aakbqgc,577214400030389,SN2023jbi,13:05:16.94,+21:27:06.5,2093.8,g,18.3772,-19.19,22.193,9.735,12.458,SN Ia,0.07077,83.50679937,0.103
ZTF23aakbjqx,476209300010977,SN2023itm,13:53:16.10,+05:10:38.4,2093.8,g,18.5621,-19.16,24.112,9.759,14.353,SN Ia,0.077,63.56536148,0.071
ZTF23aakawpn,426210300027916,SN2023jgu,14:15:21.10,-02:26:41.3,2094.82,g,17.4916,-19.31,20.49,8.711,11.779,SN Ia,0.05,38.62680874,0.095
ZTF23aakaqht,526211200000520,SN2023ito,12:49:43.16,+13:30:52.8,2089.78,g,17.761,-19.32,25.334,6.007,19.327,SN Ia,0.056,-37.59402746,0.122
ZTF23aajsjon,1872213300034267,SN2023hzt,13:30:01.55,+75:34:09.0,2092.76,r,18.7008,-16.98,>80.83,>12.91,>67.92,SN II,0.0305,41.31955688,0.098
ZTF23aajmpsa,532215300015180,SN2023ipx,15:38:01.55,+14:24:42.6,2092.83,g,17.7137,-19.53,22.142,9.171,12.971,SN Ia,0.06,49.25384768,0.131
ZTF23aajkisd,643206400035869,SN2023iex,21:39:56.07,+24:39:34.6,2108.93,r,18.4563,-17.21,71.094,25.985,45.109,SN IIn,0.029,-20.62557801,0.213
ZTF23aajjzbm,338206200028885,SN2023hpd,20:49:59.87,-17:32:13.3,2114.92,g,16.7596,-18.11,70.972,25.105,45.867,SN IIn,0.0198,-33.85428269,0.178
ZTF23aajjxso,1531207300059037,SN2023iks,17:35:12.75,+06:46:28.4,2091.93,g,17.108,-19.51,27.228,9.289,17.939,SN Ia,0.04,20.01959044,0.351
ZTF23aajjddh,425214100035458,SN2023hzy,13:51:06.49,+00:27:50.9,2089.75,r,17.1937,-18.46,27.45,9.391,18.059,SN Ia,0.03011,59.72983586,0.094
ZTF23aajiucf,426207300006927,SN2023hzw,14:09:15.67,-04:15:08.9,2089.75,r,18.9571,-19.55,32.906,11.03,21.876,SN Ia,0.11,53.42191541,0.101
ZTF23aajeunk,580216100039408,SN2023icq,14:13:31.62,+22:29:57.0,2084.83,g,18.4955,-19.79,24.322,4.82,19.502,SN Ia,0.1,70.83114732,0.058
