ZTFID,OID
ZTF23aaohfxx,848210100024300
ZTF23aanzbtf,636210200038831
ZTF23aanxepa,480209400003036
ZTF23aantmqa,863214200005956
ZTF23aansrmz,796206100020920
ZTF23aanpqba,585211400041103
ZTF23aamzucf,681201100041745
ZTF23aamzljd,532209300026569
ZTF23aamzcfe,796214100032247
ZTF23aamwsrh,652207300025777
ZTF23aamvyyl,531206200034319
ZTF23aamqzyz,823215300032408
ZTF23aamqtel,579203100001061
ZTF23aamlodm,719209200028765
ZTF23aamamlv,821211300007527
ZTF23aakyoji,476203400014413
ZTF23aakstht,796203300001465
ZTF23aakrngt,629201300010118
ZTF23aakrkjt,479214300013338
ZTF23aakokgz,789207100021130
ZTF23aakmqlj,728211300040740
ZTF23aakcbfv,728214400047685
ZTF23aakbqgc,577214400030389
ZTF23aakbjqx,476209300010977
ZTF23aakaqht,526211200000520
ZTF23aajmpsa,532215300015180
ZTF23aajkisd,643206400035869
ZTF23aajjddh,425214100035458
ZTF23aajiucf,426207300006927
ZTF23aajaygo,726212400007907
ZTF23aaizmza,422207100019965
ZTF23aaizjbj,477215200018296
ZTF23aaiytpy,674202300037369
ZTF23aaiypww,577208400020276
ZTF23aaiwxqy,375212400033991
ZTF23aaiwvdh,848212100012810
ZTF23aaiwunc,724209300014802
ZTF23aaiwlzm,677214100023272
ZTF23aaiwfuq,627207100025360
ZTF23aailodz,583211200001186
ZTF23aaijkwo,374206100002489
ZTF23aaijgnu,795201300009468
ZTF23aaialcw,475203100015206
ZTF23aahzyls,576215200011515
ZTF23aagqyym,710204300018174
ZTF23aagmbuf,849213200010202
ZTF23aagkutf,788207300018129
ZTF23aafwykt,722209300025839
ZTF23aafvqat,755205300006740
ZTF23aafrhew,799213400026856
ZTF23aafratn,585203300011073
ZTF23aafqzkn,765201100042482
ZTF23aafhfwx,581211300000196
ZTF23aaeyqoa,273214300030642
ZTF23aaeyncp,754202100008164
ZTF23aaeqsvb,582211300016452
ZTF23aaeqhkx,581207200019779
ZTF23aaenexu,756214100012151
ZTF23aaencty,633210400013121
ZTF23aaemnzd,372207200013731
ZTF23aaemgsd,318216400011504
ZTF23aaemepn,817206100006073
ZTF23aaelqpq,418213300012673
ZTF23aaekkai,592206200106857
ZTF23aaekejj,588213100043414
ZTF23aaejwkh,864201400001771
ZTF23aaejvzv,723216400009063
ZTF23aaedvtn,816209200008304
ZTF23aaecgwh,583209300009400
ZTF23aaecexq,678216400013703
ZTF23aaeavsh,581209200008373
ZTF23aaeardk,473212100007909
ZTF23aadxxrd,369207300000952
ZTF23aadxrid,622212100009729
ZTF23aadwjtg,468203100035392
ZTF23aadwigb,668207400005675
ZTF23aadwfed,418201400003822
ZTF23aadtzse,374205300031904
ZTF23aadtvmb,872208400010591
ZTF23aadtqlt,525213400037824
ZTF23aadrtlp,473211400009434
ZTF23aadmwpn,663202200025880
ZTF23aadjwkw,791209300012009
ZTF23aadjpsn,271206400032142
ZTF23aadjhyj,371210400026466
ZTF23aadaxfn,788211400032733
ZTF23aacydwa,463213100033914
ZTF23aaccacy,706202200026874
ZTF23aabutwh,584207100038980
ZTF23aabrftw,862216400017524
ZTF23aabnyfa,712203200026744
ZTF23aabmevr,1739211200035061
ZTF23aablgzj,532212200026496
ZTF23aabksje,319209200031041
ZTF23aabbsdi,783207300034184
ZTF23aabasoe,516211400036680
ZTF23aaazffe,677201400042484
ZTF23aaayzbm,374204400013536
ZTF23aaawbmw,763206400014868
ZTF23aaavsyk,530208400003193
ZTF23aaatrek,838216100022249
ZTF23aaapokf,754203200002151
ZTF23aaapldg,264211200024022
ZTF23aaakutq,792212200011956
ZTF23aaaknoj,522212200025602
ZTF23aaahtnj,271213400009456
ZTF23aaagncz,784211300000563
ZTF23aaabzea,375203300006172
ZTF23aaaboss,319206200024661
ZTF23aaabewy,714211200004288
ZTF23aaabctl,465207100014233
ZTF22acbacvy,323204200001726
ZTF22acaunur,582216400018484
ZTF22acalffo,505210200012373
ZTF22acadszu,839212100019284
ZTF22acablwr,302203200014145
ZTF22abzejiv,403210100022474
ZTF22abyrlaw,449215400020609
ZTF22abyokkf,629206200014740
ZTF22abyokjo,760212200018781
ZTF22abynpmq,837213300014620
ZTF22abyngnw,257208400039599
ZTF22abylrge,447214200002995
ZTF22abyknqs,820205100020600
ZTF22abyhxlj,296214400004400
ZTF22abyergl,256215300015515
ZTF22abybbud,663216400034564
ZTF22abxlqvc,579210100007279
ZTF22abxkfjy,713204400044667
ZTF22abxgnre,355203400031131
ZTF22abuygtu,463205400038085
ZTF22abuqitl,349209300003137
ZTF22abubrek,446216300010195
ZTF22abtsypf,706207200010427
ZTF22abtsqjo,363206300028188
ZTF22abtslvh,748211300018041
ZTF22abtomri,842208300005507
ZTF22abtlaew,645212400021647
ZTF22abteujl,503206100030379
ZTF22abtcyos,419207300018149
ZTF22abtctzp,754215200005703
ZTF22abtctvo,785211300018778
ZTF22abtcsar,365213300016342
ZTF22abtcpig,775201200042347
ZTF22abtcphd,775206300033362
ZTF22abtbijr,709215200026110
ZTF22absxaxv,364205200007092
