ZTFID,OID
ZTF25aaittoe,531205300013818
ZTF25aaitagu,751216100016750
ZTF25aairenk,819214200007678
ZTF25aaipveb,371213300014086
ZTF25aaiouoy,786204200019329
ZTF25aaiitra,797211300006921
ZTF25aahmecj,850204300016867
ZTF25aahmdjb,636202200048623
ZTF25aagzocg,462216400039703
ZTF25aagvkqj,795215300022010
ZTF25aagufmn,713210300000361
ZTF25aagoicl,752212400014691
ZTF25aaglrlj,588202200003085
ZTF25aagjcul,749206200010638
ZTF25aaggugu,825201400013054
ZTF25aagfpoi,568211400036228
ZTF25aagezfh,750215200036156
ZTF25aagbtlp,725206100038312
ZTF25aagbsgv,681212400011987
ZTF25aagbrpb,632211400000041
ZTF25aagbdyg,321212400004969
ZTF25aafwfof,484204400011727
ZTF25aafwcmp,477216400039862
ZTF25aafvbeq,711202400030140
ZTF25aafulfd,665203100020162
ZTF25aafsrzj,520202200020446
ZTF25aafrgdv,516212200023608
ZTF25aafrcem,782214100011334
ZTF25aafpqvd,711211400006020
ZTF25aafofmu,721207100003928
ZTF25aafkcir,316216300008921
ZTF25aafiibc,758214300034636
ZTF25aafifqa,677205200001127
ZTF25aafibim,424215400012394
ZTF25aafdwin,846204200011656
ZTF25aafdnuf,477209300016397
ZTF25aaekcfy,463211100023415
ZTF25aadtdef,710212400036767
ZTF25aadnxae,519213200022727
ZTF25aadnujq,468208300015823
ZTF25aadntob,1514210200025883
ZTF25aadnsyh,520207400043837
ZTF25aadnogd,468206300036029
ZTF25aadlkpv,471208200015426
ZTF25aadlhzw,319209100011903
ZTF25aadkeon,616203300035261
ZTF25aadfajb,416202100004664
ZTF25aadevqv,569206300027492
ZTF25aadcylv,710204200040830
ZTF25aacqvcq,414212400005274
ZTF25aacnour,655212200012805
ZTF25aacldzw,518216100016288
ZTF25aachhhw,621213200014621
ZTF25aacfbem,464212300020526
ZTF25aacerkv,1869209300018041
ZTF25aacbhct,700215400025856
ZTF25aacaoby,706213200010914
ZTF25aabwjuw,1629213300034580
ZTF25aabvekt,697213300040627
ZTF25aabsnyf,761201400013558
ZTF25aabsnwc,875206300043822
ZTF25aabqdqc,463201200024678
ZTF25aabpoxz,256205400020283
ZTF25aabowed,1598201200040029
ZTF25aabovpf,402213300038220
ZTF25aabotnk,452213200015930
ZTF25aabmkua,473209400029126
ZTF25aabmhdd,473209300004737
ZTF25aabjdvo,470209400016038
ZTF25aaazubi,632211200020641
ZTF25aaaqkbi,633205200027268
ZTF25aaapkzn,365209200026921
ZTF25aaapgir,707207400021462
ZTF25aaaoxjm,418213400018880
ZTF25aaamyjq,614202100000760
