ZTFID,OID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF23aanxepa,480209400003036,SN2023ktu,15:45:35.39,+05:12:56.9,2123.75,g,18.0675,-19.44,24.163,11.424,12.739,SN Ia,0.067,43.15309181,0.15
ZTF23aantmqa,863214200005956,SN2023kxf,15:18:42.98,+79:28:16.7,2121.9,g,18.5181,-19.65,26.122,10.247,15.875,SN Ia,0.094,35.34477854,0.077
ZTF23aamqzyz,823215300032408,SN2023jvt,15:22:32.76,+64:51:42.3,2114.79,g,16.5267,-19.14,27.484,10.779,16.705,SN Ia,0.03,45.367257,0.083
ZTF23aamqtel,579203100001061,SN2023jvj,13:53:02.45,+16:49:10.9,2113.76,g,15.6696,-18.98,23.938,9.235,14.703,SN Ia,0.019,72.41459783,0.072
ZTF23aakstht,796203300001465,SN2023jac,17:00:05.33,+51:55:55.1,2109.86,r,18.2314,-18.47,32.029,17.948,14.081,SN Ic,0.0495,37.96939147,0.052
ZTF23aakcbfv,728214400047685,SN2023iwz,19:52:18.46,+42:53:12.1,2089.95,r,17.6171,-16.19,27.525,6.793,20.732,SN II,0.01,7.99916189,0.773
ZTF23aakaqht,526211200000520,SN2023ito,12:49:43.16,+13:30:52.8,2089.78,g,17.761,-19.32,25.334,6.007,19.327,SN Ia,0.056,-37.59402746,0.122
ZTF23aajmpsa,532215300015180,SN2023ipx,15:38:01.55,+14:24:42.6,2092.83,g,17.7137,-19.53,22.142,9.171,12.971,SN Ia,0.06,49.25384768,0.131
ZTF23aajjddh,425214100035458,SN2023hzy,13:51:06.49,+00:27:50.9,2089.75,r,17.1937,-18.46,27.45,9.391,18.059,SN Ia,0.03011,59.72983586,0.094
ZTF23aajaygo,726212400007907,SN2023hyv,18:20:30.14,+41:00:59.7,2085.87,g,18.5368,-19.28,22.406,9.343,13.063,SN Ia,0.08,22.93093217,0.086
ZTF23aaiwxqy,375212400033991,SN2023hzf,14:19:50.10,-09:18:00.6,2084.82,g,17.1169,-19.83,23.563,9.033,14.53,SN Ia,0.052,47.73774659,0.143
ZTF23aaiwvdh,848212100012810,SN2023hui,17:13:47.59,+70:34:46.8,2084.86,g,17.078,-19.34,24.442,8.715,15.727,SN Ia,0.042,33.52771187,0.094
ZTF23aaijkwo,374206100002489,SN2023hsu,14:04:34.52,-10:14:04.6,2077.88,g,17.1082,-19.13,18.936,7.063,11.873,SN Ia,0.038,48.64133593,0.13
ZTF23aafrhew,799213400026856,SN2023gaj,19:50:44.47,+57:33:14.6,2061.93,g,18.0032,-19.44,22.287,7.659,14.628,SN Ia,0.06,15.22604215,0.298
ZTF23aaeqsvb,582211300016452,SN2023fix,15:16:10.39,+19:46:39.8,2053.86,g,18.7182,-19.30,32.453,8.126,24.327,SN Ia,0.086,56.12476853,0.114
ZTF23aaencty,633210400013121,SN2023euh,16:41:18.04,+26:44:34.5,2049.95,g,18.3383,-19.15,>28.12,>6.07,22.05,SN Ia,0.064,39.24443365,0.22
ZTF23aaemnzd,372207200013731,SN2023fbk,12:57:09.48,-10:04:17.1,2058.77,r,18.5228,-17.62,>37.445,>14,23.445,SN Ic,0.037,52.77439345,0.143
ZTF23aaedvtn,816209200008304,SN2023ekx,09:41:11.97,+63:35:40.8,2036.78,g,18.5391,-18.29,>16.008,>0.05,>15.958,SN II,0.05,42.4932689,0.117
ZTF23aaecexq,678216400013703,SN2023erg,15:30:05.64,+35:40:20.0,2057.92,r,18.8601,-18.52,75.157,21.195,53.962,SN IIn,0.067,55.33281095,0.06
ZTF23aaeavsh,581209200008373,SN2023eem,15:05:14.53,+20:34:55.1,2044.83,g,18.0631,-19.35,>24.053,>12,12.053,SN Ia,0.066,58.81168393,0.097
ZTF23aadwigb,668207400005675,SN2023ecj,10:26:48.63,+31:46:22.7,2042.8,r,17.6426,-19.13,20.897,7.633,13.264,SN Ia,0.051,58.320187,0.054
ZTF23aadaxfn,788211400032733,SN2023dbc,11:11:39.21,+55:40:29.0,2030.85,r,16.7627,-13.25,>22.857,>10.14,12.717,SN Ic,0.0023,56.26450257,0.045
ZTF23aaccacy,706202200026874,SN2023cmx,07:06:54.66,+37:58:35.5,2045.66,g,18.195,-22.02,>58.959,38.919,>20.04,SLSN-I,0.22,19.14216667,0.205
ZTF23aaatrek,838216100022249,SN2023asz,05:42:02.82,+72:09:26.7,1981.66,g,18.1795,-19.34,21.358,10.133,11.225,SN Ia,0.061,20.65537894,0.329
ZTF23aaapokf,754203200002151,AT2023aaz,11:36:03.39,+45:25:20.5,1985.89,r,17.1857,-19.56,45.758,15.304,30.454,SN Ia,0.05,66.3443077,0.074
ZTF23aaagncz,784211300000563,SN2023qb,08:16:05.44,+55:48:23.1,1969.78,g,16.8743,-18.98,17.773,7.27,10.503,SN Ia,0.0319,33.89949299,0.128
ZTF23aaaboss,319206200024661,SN2023bu,11:53:11.26,-17:50:34.0,1965.88,r,17.5654,-19.01,>23.889,>13.95,9.939,SN Ia,0.046,42.8629733,0.094
ZTF23aaabctl,465207100014233,SN2023gz,08:42:01.46,+03:48:26.2,1967.86,r,18.0261,-19.38,>27.934,>16.04,11.894,SN Ia,0.067,26.25301821,0.101
ZTF22acbacvy,323204200001726,SN2022adzl,13:32:01.08,-19:12:48.6,1968.96,r,17.7836,-17.53,>88.796,>30.93,57.866,SN II,0.024,42.62638993,0.289
ZTF22abyokkf,629206200014740,SN2022acri,14:34:19.17,+25:52:55.4,1984.96,r,17.9012,-17.02,>117.806,>60.95,56.856,SN II,0.02172,66.98911959,0.079
ZTF22abynpmq,837213300014620,SN2022acyr,05:39:53.98,+71:40:12.1,1935.78,r,18.3775,-19.67,32.154,11.584,20.57,SN Ia,0.082,20.29756963,0.33
ZTF22abyhxlj,296214400004400,SN2022acqg,01:10:01.90,-14:36:44.4,1932.61,g,17.1412,-19.95,25.961,8.974,16.987,SN Ia,0.058,-76.75596919,0.066
ZTF22abuqitl,349209300003137,SN2022abgg,02:23:00.88,-09:11:49.2,1913.72,g,17.9173,-19.55,21.833,8.074,13.759,SN Ia,0.069,-61.91123773,0.067
ZTF22abtomri,842208300005507,SN2022aber,10:21:25.29,+67:32:03.6,1914.93,r,18.746,-17.50,46.633,11.477,35.156,SN II,0.04,43.72334715,0.069
ZTF22abtctzp,754215200005703,SN2022zkb,11:37:04.57,+50:49:09.5,1893.97,r,18.0803,-18.64,>30.758,>0,>30.758,SN II,0.05,62.42283874,0.045
ZTF22abtcpig,775201200042347,SN2022zyd,02:08:33.21,+52:49:36.3,1922.68,r,18.2648,-19.34,61.016,26.937,34.079,SN IIn,0.063,-8.29459539,0.496
