amplitude_magn_r,ln1p_anderson_darling_normal_magn_r,beyond_1_std_magn_r,beyond_2_std_magn_r,cusum_magn_r,lg_inter_percentile_range_2_magn_r,lg_inter_percentile_range_10_magn_r,lg_inter_percentile_range_25_magn_r,kurtosis_magn_r,arcsinh_linear_fit_slope_magn_r,lg_linear_fit_slope_sigma_magn_r,ln1p_linear_fit_reduced_chi2_magn_r,arcsinh_linear_trend_magn_r,lg_linear_trend_sigma_magn_r,lg_linear_trend_noise_magn_r,mean_magn_r,median_absolute_deviation_magn_r,period_0_magn_r,period_s_to_n_0_magn_r,period_1_magn_r,period_s_to_n_1_magn_r,period_2_magn_r,period_s_to_n_2_magn_r,period_3_magn_r,period_s_to_n_3_magn_r,period_4_magn_r,period_s_to_n_4_magn_r,periodogram_amplitude_magn_r,periodogram_beyond_2_std_magn_r,periodogram_beyond_3_std_magn_r,periodogram_standard_deviation_magn_r,ln1p_chi2_magn_r,arcsinh_skew_magn_r,standard_deviation_magn_r,stetson_K_magn_r,weighted_mean_magn_r,lg_otsu_mean_diff_magn_r,otsu_std_lower_magn_r,otsu_std_upper_magn_r,otsu_lower_to_all_ratio_magn_r,mean_variance_flux_r,excess_variance_flux_r,bazin_fit_mag_full_amplitude_flux_r,bazin_fit_baseline_amplitude_ratio_flux_r,bazin_fit_rise_time_flux_r,bazin_fit_fall_time_flux_r,ln1p_bazin_fit_reduced_chi2_flux_r,oid,artefact,is_sn,regular_obj,akb_ot,label
0.7704506,4.9800215,0.09955752,0.08738938,0.2844018,0.09083602,-0.4169771,-0.95744675,5.203805,-0.00016028242,-5.4057183,4.455669,-7.169104e-05,-4.673952,-0.53147817,18.738544,0.052147865,939.03326,42.55693,751.2266,40.372917,0.99600476,35.778477,0.9957407,33.770885,1.0012083,30.584145,50.991318,0.009281158,0.0052604675,2.3742223,4.4757404,-1.6502044,0.29580542,0.7536638,18.537668,-0.013151723,0.13465679,0.0895591,0.09181416,0.38433036,0.14563389,18.530212,1.579553,31.077772,43.40607,3.7057462,647209400024306,0.0,1.0,0.0,0.0,1
0.53322315,1.7226744,0.22485207,0.03550296,0.20153569,-0.3360759,-0.5629299,-0.9151306,10.255726,-0.00014137974,-5.0166206,1.6161553,-0.00010673709,-4.7982974,-0.94745994,18.886965,0.0506649,854.3312,19.328981,331.27127,19.112724,1.0002645,18.936108,0.99841875,18.788424,4058.073,18.159433,8.508303,0.035751343,0.015205383,0.84657705,1.8396446,-1.5024947,0.12677866,0.62687576,18.857584,-0.6478057,0.1338704,0.062281642,0.23076923,0.13621207,0.014364,21.580837,23.939392,1e-04,1e-04,1.5962223,245208100006370,0.0,1.0,0.0,0.0,1
0.3744831,2.70826,0.16352202,0.062893085,0.26246396,-0.22829509,-0.58177924,-1.0893353,4.9146624,-6.540104e-05,-5.2948728,3.1486626,-4.5116303e-05,-4.6936107,-0.8941498,17.825813,0.036806107,179.75984,24.587648,1.0028753,22.722849,0.99180883,22.592854,1078.559,19.20759,351.70404,18.724937,13.2019415,0.027397156,0.0135650635,1.0471734,3.1870103,-1.5145445,0.12918903,0.6751071,17.802652,-0.4574061,0.121463336,0.05631799,0.11320755,0.13597816,0.01765078,17.228012,1.1126024,3.8949533,32.219833,1.5853674,245211400001578,0.0,1.0,0.0,0.0,1
0.40796375,2.5823054,0.16763006,0.06358381,0.21536568,-0.3016849,-0.6131172,-1.1456082,5.4838705,-8.955736e-05,-5.164696,1.8741429,-6.7593595e-05,-4.826388,-0.9632938,17.724676,0.03499031,181.57605,28.705473,0.9918535,28.179502,1.002809,25.324053,0.49728492,23.3955,0.99447805,21.59287,15.719261,0.024902344,0.012207031,1.0726141,2.012092,-1.4500345,0.114833474,0.6578489,17.709084,-0.5284376,0.115556955,0.055176057,0.115606934,0.11853493,0.011849626,18.82676,5.498702,33475.48,1e-04,1.845853,246206200010187,0.0,1.0,0.0,0.0,1
0.88828087,4.1976953,0.2755102,0.0076530613,0.42436245,0.21516532,0.16458061,-0.045368526,-0.79500794,-0.0010485159,-5.196847,3.6668885,-0.0007256368,-4.4827485,-0.36426726,19.286106,0.18849564,2087.0942,54.938118,1341.7035,53.25382,939.1924,49.14595,0.997761,41.799366,0.9990877,41.471394,114.01145,0.0038108826,0.0026512146,4.133147,4.3020597,-0.81131506,0.5500965,0.95229226,18.772898,0.06480698,0.20605677,0.17885605,0.27295917,0.5966538,0.3517065,17.717182,0.32869497,75.61256,118.02585,3.0743334,647213200010054,0.0,1.0,0.0,0.0,1
0.93107605,1.4334493,0.25384617,0.053846154,0.25199494,0.09775411,-0.15078405,-0.49265826,2.220755,-0.0001251039,-4.9513893,3.7432928,-1.8909499e-05,-4.274818,-0.52146167,18.485813,0.15594482,1.002474,19.947567,191.31918,19.893692,0.99207735,17.667776,650.4853,17.610264,0.995783,17.481924,9.357481,0.03314209,0.015609741,0.90703213,3.7585747,-1.0466359,0.29995984,0.73109484,18.317163,-0.19939175,0.24489526,0.16885763,0.16923077,0.3399694,0.11241576,18.539541,1.996503,37.863365,52.4545,3.1861086,248213400014729,0.0,1.0,0.0,0.0,1
1.0551987,3.7462702,0.1835206,0.04993758,0.2147087,0.014467027,-0.30743206,-0.7023195,7.713187,0.00022301012,-5.1533403,2.9028895,8.903226e-05,-4.740661,-0.6206319,19.714985,0.09414673,298.14825,36.88849,586.9794,35.941536,552.4512,34.812992,0.9966223,34.07072,1173.9587,33.59952,42.231853,0.010543823,0.0062026978,2.265036,2.9686618,-1.5591148,0.24296862,0.62983024,19.577093,-0.2638163,0.27777645,0.1124059,0.14606741,0.30855575,0.08820567,19.326153,1.3313456,10.862841,12.032031,2.103011,647210200002336,0.0,1.0,0.0,0.0,1
1.9802017,3.1397398,0.3853591,0.0179558,0.4232839,0.5646498,0.5227006,0.23141284,-0.80597496,0.0018688587,-5.088342,4.9366097,-0.00066204177,-3.9612029,0.053696793,18.866499,0.9818201,1533.83,59.849293,920.2979,52.739902,0.49949682,45.362743,1.0010312,43.61996,1.000759,42.84491,98.60822,0.010902405,0.00592041,3.2762787,5.3549,0.5362256,1.1591618,0.9304632,17.911997,0.29288092,0.3868661,0.7833773,0.50414366,0.7698144,0.5912641,16.197723,0.010229729,47.104313,260.3423,2.8686435,647204300002676,0.0,1.0,0.0,0.0,1
1.5809498,1.6121209,0.3024055,0.05498282,0.38950202,0.46533492,0.3087243,-0.02742478,-0.17196774,0.00021141669,-4.8850884,5.6058245,-9.973754e-05,-3.9435647,-0.1300512,19.224466,0.4771557,296.60062,26.849094,670.0977,26.738743,952.2441,26.264397,0.99843484,25.952759,0.9959616,25.410364,26.992199,0.011703491,0.007083893,1.9768441,5.6057315,-0.6203203,0.74092495,0.8954004,18.376537,0.12611093,0.48671687,0.39865026,0.28865978,0.8547932,0.72859585,17.537197,0.2927827,18.04515,24.779902,4.587515,647208100036113,0.0,1.0,0.0,0.0,1
0.8084507,3.9150848,0.12715517,0.01724138,0.09948394,-0.3674009,-0.6587626,-0.97936517,38.57054,2.319646e-05,-5.4169617,2.9073515,1.44879e-05,-5.0530777,-0.8528689,19.198101,0.0525856,1.0029845,12.669034,176.85031,11.966432,0.50020516,11.384463,0.50008726,10.774449,155.2832,10.012805,16.6114,0.043655396,0.017383575,2.4523776,2.9084942,-2.2945127,0.14045139,0.4222408,19.147207,0.035990153,0.22954404,0.089452766,0.0096982755,0.19495371,0.034901526,18.888348,1.063151,228544.14,20591.605,2.2091222,727210400047163,0.0,1.0,0.0,0.0,1
1.0110912,4.403977,0.129683,0.08213256,0.27841505,0.25028566,-0.087942526,-0.7015272,4.5207663,0.00058100576,-5.886079,6.275113,0.00032904145,-4.597312,-0.43706065,17.447104,0.0996418,2653.8267,35.044807,0.99751854,30.854733,1032.0437,28.892262,0.99618125,28.546413,0.9996657,27.162024,41.56652,0.017261505,0.01052475,2.338813,6.707674,-1.5531065,0.4075741,0.7206148,17.256008,0.0875069,0.27952397,0.15152663,0.10230547,0.5808486,0.33705968,15.939383,0.4216247,849767.7,381.99518,5.8105326,648211100028029,0.0,1.0,0.0,0.0,1
1.2095728,2.8034537,0.13284133,0.036900368,0.27176428,0.19241765,-0.23565897,-0.5455683,11.987527,-0.0010149154,-4.8667417,3.5532196,-0.00035864525,-4.3194675,-0.5288836,19.509636,0.13158417,1.1925845,5.503069,0.8578752,5.4335694,0.46399105,4.910111,0.862703,4.894868,6.621272,4.884364,24.681112,0.03969574,0.006134033,7.3556705,4.01555,-1.7906287,0.32462797,0.6338999,19.098549,0.019414268,0.49506813,0.1809176,0.05904059,0.53152716,0.27347597,18.353647,0.7066847,38.057022,234.21664,2.7765691,257215400030742,0.0,1.0,0.0,0.0,1
